team,played_2022,wins_2022,losses_2022,goals_for_2022,goals_against_2022,goal_diff_2022,win_rate_2022,clean_sheet_rate_2022,stage_reached_2022,group_rank_2022,group_points_2022,group_win_rate_2022,avg_goals_scored_2022,avg_goals_conceded_2022,shots_on_target_avg_2022,pass_accuracy_2022,recent_match_count,recent_win_rate
Algeria,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Argentina,7,4,1,15,8,7,0.571,0.429,FINAL,1.0,6.0,0.667,2.1,1.1,0.0,0%,14,0.929
Australia,4,2,2,4,6,-2,0.5,0.5,GROUP_STAGE,2.0,6.0,0.667,,,,,0,0.0
Austria,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Belgium,3,1,1,1,2,-1,0.333,0.667,GROUP_STAGE,3.0,4.0,0.333,,,,,0,0.0
Brazil,5,3,1,8,3,5,0.6,0.4,FINAL,1.0,6.0,0.667,1.6,0.6,0.0,0%,11,0.364
Canada,3,0,3,2,7,-5,0.0,0.0,GROUP_STAGE,4.0,0.0,0.0,,,,,0,0.0
Cape Verde Islands,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Colombia,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Croatia,7,2,1,8,7,1,0.286,0.286,FINAL,2.0,5.0,0.333,1.1,1.0,0.0,0%,0,0.0
Curaçao,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Ecuador,3,1,1,4,3,1,0.333,0.333,GROUP_STAGE,3.0,4.0,0.333,,,,,0,0.0
Egypt,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
England,5,3,1,13,4,9,0.6,0.6,FINAL,1.0,7.0,0.667,2.6,0.8,0.0,0%,35,0.714
France,7,5,1,16,8,8,0.714,0.143,FINAL,1.0,6.0,0.667,2.3,1.1,0.0,0%,36,0.639
Germany,3,1,1,6,5,1,0.333,0.0,GROUP_STAGE,3.0,4.0,0.333,,,,,0,0.0
Ghana,3,1,2,5,7,-2,0.333,0.0,GROUP_STAGE,4.0,3.0,0.333,,,,,0,0.0
Haiti,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Iran,3,1,2,4,7,-3,0.333,0.333,GROUP_STAGE,3.0,3.0,0.333,,,,,0,0.0
Ivory Coast,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Japan,4,2,1,5,4,1,0.5,0.0,GROUP_STAGE,1.0,6.0,0.667,,,,,0,0.0
Jordan,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Mexico,3,1,1,2,3,-1,0.333,0.333,GROUP_STAGE,3.0,4.0,0.333,,,,,0,0.0
Morocco,7,3,2,6,5,1,0.429,0.571,FINAL,1.0,7.0,0.667,0.9,0.7,0.0,0%,0,0.0
Netherlands,5,3,0,10,4,6,0.6,0.4,FINAL,1.0,7.0,0.667,2.0,0.8,0.0,0%,0,0.0
New Zealand,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Norway,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Panama,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Paraguay,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Portugal,5,3,2,12,6,6,0.6,0.2,FINAL,1.0,6.0,0.667,2.4,1.2,0.0,0%,0,0.0
Qatar,3,0,3,1,7,-6,0.0,0.0,GROUP_STAGE,4.0,0.0,0.0,,,,,0,0.0
Saudi Arabia,3,1,2,3,5,-2,0.333,0.0,GROUP_STAGE,4.0,3.0,0.333,,,,,0,0.0
Scotland,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
Senegal,4,2,2,5,7,-2,0.5,0.0,GROUP_STAGE,2.0,6.0,0.667,,,,,0,0.0
South Africa,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
South Korea,4,1,2,5,8,-3,0.25,0.25,GROUP_STAGE,2.0,4.0,0.333,,,,,0,0.0
Spain,4,1,1,9,3,6,0.25,0.5,GROUP_STAGE,2.0,4.0,0.333,,,,,35,0.771
Switzerland,4,2,2,5,9,-4,0.5,0.25,GROUP_STAGE,2.0,6.0,0.667,,,,,0,0.0
Tunisia,3,1,1,1,1,0,0.333,0.667,GROUP_STAGE,3.0,4.0,0.333,,,,,0,0.0
United States,4,1,1,3,4,-1,0.25,0.5,GROUP_STAGE,2.0,5.0,0.333,,,,,0,0.0
Uruguay,3,1,1,2,2,0,0.333,0.667,GROUP_STAGE,3.0,4.0,0.333,,,,,0,0.0
Uzbekistan,0,0,0,0,0,0,0.0,0.0,N/A,,,,,,,,0,0.0
